sku,sku_prefix_3,backorder_probability,risk_level,planner_priority,alert_status,actual_backorder,actual_backorder_label,predicted_backorder,predicted_backorder_label,prediction_outcome,correct_prediction,detected_backorder,missed_backorder,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,potential_issue,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop
2288708,228,0.23,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,27.0,8.0,0.0,90.0,165.0,255.0,23.0,80.0,158.0,234.0,33.0,0.0,0.66,0.63,0.0,0,0,0,0,1,0
1655386,165,0.2,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,44.0,8.0,18.0,189.0,300.0,430.0,48.0,155.0,267.0,391.0,66.0,0.0,0.87,0.81,0.0,0,0,0,0,1,0
2301396,230,0.22,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,4.0,8.0,0.0,14.0,28.0,42.0,4.0,21.0,33.0,41.0,8.0,0.0,0.79,0.83,0.0,0,0,0,0,1,0
1338463,133,0.22,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,4.0,8.0,2.0,11.0,21.0,33.0,4.0,11.0,20.0,25.0,2.0,0.0,0.79,0.66,0.0,0,0,0,0,1,0
3457103,345,0.25,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.0,0,0,0,0,1,0
3481399,348,0.23,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,91.0,4.0,176.0,936.0,1416.0,1928.0,152.0,547.0,930.0,1333.0,131.0,31.0,0.73,0.78,5.0,0,0,0,0,1,0
3408942,340,0.345,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,12.0,0.0,5.0,8.0,11.0,0.0,3.0,5.0,6.0,0.0,0.0,0.73,0.79,0.0,0,0,0,1,1,0
3254026,325,0.2,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,-9.0,8.0,0.0,119.0,119.0,128.0,88.0,136.0,201.0,276.0,30.0,16.0,0.22,0.13,42.0,0,0,0,1,1,0
1551781,155,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
3314465,331,0.36,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,1.0,12.0,0.0,17.0,29.0,29.0,3.0,9.0,18.0,24.0,1.0,0.0,0.74,0.69,0.0,0,0,0,0,1,0
1295591,129,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1569733,156,0.29,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.92,0.0,0,1,0,0,1,0
2915558,291,0.21,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,14.0,8.0,0.0,20.0,40.0,60.0,8.0,22.0,49.0,67.0,3.0,0.0,0.99,0.94,0.0,0,0,0,0,1,0
3397752,339,0.34,Elevated,Monitor,No Alert,1,Backorder,0,No Backorder,False Negative,0,0,1,2.0,12.0,0.0,66.0,108.0,144.0,12.0,43.0,83.0,113.0,0.0,0.0,0.07,0.19,0.0,0,0,0,0,1,0
2910852,291,0.34,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,2.0,8.0,0.0,17.0,27.0,47.0,6.0,17.0,24.0,37.0,0.0,0.0,0.98,0.97,0.0,0,0,0,0,1,0
2092625,209,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1570147,157,0.25,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,10.0,8.0,0.0,0.0,0.0,0.0,56.0,143.0,289.0,368.0,84.0,0.0,0.85,0.83,27.0,0,0,0,0,0,0
1984154,198,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1300439,130,0.37,Elevated,Monitor,No Alert,1,Backorder,0,No Backorder,False Negative,0,0,1,-3.0,12.0,0.0,17.0,24.0,32.0,2.0,7.0,17.0,21.0,6.0,0.0,0.74,0.72,3.0,0,0,0,0,1,0
3012656,301,0.22,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,47.0,12.0,0.0,368.0,518.0,618.0,3.0,3.0,3.0,3.0,56.0,150.0,0.83,0.92,0.0,0,0,0,0,1,0
1233175,123,0.2089855699855699,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.0,0,1,0,1,1,0
1912909,191,0.31,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,1.0,8.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.85,0.89,0.0,0,0,0,0,1,0
1746029,174,0.3943419712780148,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.78,0.0,0,1,0,0,1,0
3273337,327,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
3070472,307,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1520742,152,0.29,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,27.0,38.0,49.0,7.0,15.0,20.0,28.0,0.0,0.0,0.25,0.11,0.0,0,0,0,0,1,0
3495795,349,0.24,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,10.0,10.0,10.0,1.0,2.0,2.0,2.0,1.0,0.0,0.47,0.44,0.0,0,1,0,1,1,0
2238683,223,0.31,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,18.0,34.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.65,0.0,0,0,0,0,1,0
1810419,181,0.24,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,5.0,8.0,8.0,0.0,2.0,2.0,2.0,1.0,0.0,0.77,0.87,0.0,0,1,0,0,1,0
1827393,182,0.3716666666666666,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,16.0,28.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0,0,1,0,0,1,0
1899594,189,0.35,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,20.0,12.0,0.0,250.0,250.0,250.0,26.0,94.0,147.0,186.0,63.0,0.0,0.93,0.89,1.0,0,0,0,1,1,0
3076294,307,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1176410,117,0.295,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,9.0,0.0,4.0,8.0,11.0,2.0,4.0,8.0,13.0,2.0,0.0,0.69,0.68,0.0,0,0,0,0,1,0
3467651,346,0.2,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,5.0,2.0,0.0,32.0,32.0,64.0,9.0,16.0,29.0,53.0,1.0,0.0,0.97,0.98,0.0,0,0,0,0,1,0
2107017,210,0.23,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,10.0,2.0,0.0,17.0,17.0,34.0,10.0,18.0,26.0,41.0,6.0,0.0,0.84,0.83,0.0,0,0,0,0,1,0
2828641,282,0.35,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,3.0,8.0,0.0,35.0,63.0,91.0,19.0,34.0,59.0,75.0,2.0,0.0,0.96,0.96,0.0,0,0,0,0,1,0
3133035,313,0.27,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,59.0,8.0,5.0,300.0,300.0,720.0,56.0,114.0,202.0,255.0,68.0,0.0,0.85,0.83,1.0,0,0,0,0,1,0
1777722,177,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
2866491,286,0.2191666666666666,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,2.0,3.0,4.0,0.0,1.0,3.0,4.0,1.0,0.0,0.49,0.57,0.0,0,0,0,1,1,0
3519150,351,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
2088179,208,0.2,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,-2094.0,3.0,820.0,14002.0,16918.0,19834.0,10957.0,25241.0,30418.0,40388.0,3938.0,3564.0,0.92,0.96,2780.0,0,0,0,0,1,0
1619932,161,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1431385,143,0.26,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,1.0,2.0,0.0,10.0,10.0,10.0,4.0,5.0,10.0,17.0,0.0,0.0,0.78,0.49,0.0,0,0,0,0,1,0
1607561,160,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1543528,154,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
3438977,343,0.23,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,17.0,12.0,1.0,54.0,90.0,132.0,18.0,47.0,85.0,132.0,25.0,0.0,0.94,0.88,0.0,0,0,0,0,1,0
1506892,150,0.28,Elevated,Monitor,No Alert,1,Backorder,0,No Backorder,False Negative,0,0,1,0.0,8.0,0.0,3.0,3.0,3.0,0.0,1.0,3.0,6.0,1.0,0.0,0.67,0.69,0.0,0,0,0,0,1,0
1216405,121,0.26,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,1.0,9.0,0.0,3.0,6.0,8.0,2.0,4.0,6.0,7.0,0.0,0.0,0.99,0.98,0.0,0,0,0,0,1,0
1268511,126,0.27,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,14.0,30.0,38.0,3.0,11.0,23.0,33.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0
2975232,297,0.2812909514500626,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.78,0.0,0,0,0,0,1,0
3444342,344,0.23,Elevated,Monitor,No Alert,1,Backorder,0,No Backorder,False Negative,0,0,1,194.0,8.0,0.0,1386.0,2160.0,3078.0,351.0,1076.0,1862.0,2666.0,356.0,36.0,0.75,0.85,0.0,0,0,0,0,1,0
2886648,288,0.31,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,-3.0,8.0,0.0,30.0,30.0,30.0,8.0,14.0,24.0,27.0,1.0,0.0,0.02,0.12,3.0,0,0,0,1,1,0
3001912,300,0.21,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,5.0,8.0,10.0,2.0,3.0,7.0,8.0,0.0,1.0,0.83,0.69,0.0,0,0,0,0,1,0
1478231,147,0.21,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,-11.0,2.0,0.0,62.0,69.0,83.0,34.0,46.0,96.0,98.0,0.0,0.0,0.95,0.97,11.0,0,1,0,0,1,0
2123993,212,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1167524,116,0.23,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,12.0,0.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,0.62,0.73,0.0,0,0,0,0,1,0
1611716,161,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1246303,124,0.34,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,3.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.81,0.41,0.0,0,1,0,0,1,0
3497828,349,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
2820025,282,0.35,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,5.0,2.0,1.0,27.0,51.0,75.0,8.0,24.0,36.0,48.0,0.0,0.0,0.92,0.96,0.0,0,0,0,0,1,0
1676810,167,0.27,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,3.0,12.0,0.0,20.0,40.0,50.0,6.0,12.0,17.0,22.0,0.0,0.0,0.78,0.78,0.0,0,0,0,0,1,0
1305450,130,0.21,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,4.0,8.0,2.0,21.0,39.0,54.0,8.0,20.0,36.0,56.0,0.0,0.0,0.96,0.94,0.0,0,0,0,0,1,0
2861114,286,0.3,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,2.0,2.0,5.0,38.0,68.0,93.0,10.0,21.0,67.0,98.0,3.0,0.0,0.73,0.73,0.0,0,0,0,0,1,0
3221996,322,0.2,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,5.0,2.0,0.0,28.0,62.0,93.0,5.0,22.0,57.0,86.0,0.0,0.0,0.8,0.86,0.0,0,0,0,0,1,0
1355520,135,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
2098965,209,0.24,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,140.0,190.0,190.0,0.0,1.0,1.0,1.0,13.0,0.0,0.92,0.91,0.0,0,0,0,0,1,0
3224181,322,0.2547811907443893,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.81,0.0,0,0,0,1,1,0
1134586,113,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
3175272,317,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
2959179,295,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1465591,146,0.31,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,1.0,8.0,0.0,6.0,12.0,16.0,2.0,7.0,12.0,15.0,0.0,0.0,0.96,0.94,0.0,0,0,0,0,1,0
2187552,218,0.3033333333333333,Elevated,Monitor,No Alert,1,Backorder,0,No Backorder,False Negative,0,0,1,0.0,15.0,0.0,3.0,3.0,3.0,1.0,4.0,5.0,12.0,10.0,0.0,1.0,0.96,0.0,0,0,0,0,0,0
2010988,201,0.27,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,5.0,8.0,0.0,40.0,49.0,76.0,4.0,23.0,42.0,67.0,0.0,0.0,0.51,0.53,0.0,0,0,0,0,1,0
3071415,307,0.28,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,3.0,2.0,0.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,0.0,0.0,0.21,0.34,0.0,0,0,0,0,1,0
1935244,193,0.25,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,12.0,8.0,0.0,12.0,12.0,12.0,9.0,18.0,28.0,51.0,13.0,0.0,0.74,0.68,0.0,0,0,0,0,1,0
3316039,331,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1848087,184,0.38,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,1.0,8.0,0.0,25.0,33.0,49.0,5.0,16.0,22.0,27.0,3.0,0.0,0.98,0.99,0.0,0,0,0,0,1,0
